,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac,bechdel
2739,tt0052888,The Hideous Sun Demon,1958.0,74.0,"Horror,Sci-Fi",4.3,1100.0,2.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666,No info
2740,tt0052893,Hiroshima Mon Amour,1959.0,90.0,"Drama,Romance",7.9,26527.0,2.0,1.0,0.0,2.0,2.0,2.0,0.5,0.3333333333333333,0.0,9.0,0.3333333333333333,0.6666666666666666,No info
2741,tt0052896,A Hole in the Head,1959.0,120.0,"Comedy,Drama",6.3,2205.0,2.0,0.0,0.0,2.0,2.0,3.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778,No info
2742,tt0052901,Horrors of the Black Museum,1959.0,93.0,Horror,6.0,1113.0,2.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,No info
2743,tt0052902,The Horse Soldiers,1959.0,120.0,"Adventure,Romance,War",7.2,8860.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2744,tt0052905,The Hound of the Baskervilles,1959.0,87.0,"Horror,Mystery",7.0,8709.0,1.0,0.0,0.0,3.0,4.0,1.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2745,tt0052911,I'm All Right Jack,1959.0,105.0,Comedy,7.2,3381.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,No info
2746,tt0052918,Imitation of Life,1959.0,125.0,Drama,7.9,14113.0,3.0,2.0,0.0,1.0,2.0,1.0,0.75,0.5,0.0,9.0,0.5555555555555556,0.4444444444444444,No info
2747,tt0052924,The Indian Tomb,1959.0,102.0,"Adventure,Romance",6.7,2052.0,1.0,1.0,0.0,3.0,4.0,1.0,0.25,0.2,0.0,10.0,0.2,0.8,No info
2748,tt0052929,Invisible Invaders,1959.0,67.0,"Horror,Sci-Fi",5.0,1410.0,1.0,0.0,0.0,4.0,3.0,2.0,0.2,0.0,0.0,10.0,0.1,0.9,No info
