tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0183649,Phone Booth,2002.0,81.0,"Crime,Thriller",7.0,244363.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0183659,Pollock,2000.0,122.0,"Biography,Drama",7.0,26235.0,2.0,1.0,0.0,2.0,4.0,0.0,0.5,0.2,0.0,9.0,0.3333333333333333,0.6666666666666666
tt0183790,A Knight's Tale,2001.0,132.0,"Action,Adventure,Romance",6.9,163631.0,1.0,0.0,0.0,3.0,3.0,3.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0183828,Street Angel,1937.0,91.0,"Comedy,Drama,Musical",7.2,701.0,1.0,0.0,0.0,2.0,1.0,0.0,0.3333333333333333,0.0,0.0,4.0,0.25,0.75
tt0183869,Taxi 2,2000.0,88.0,"Action,Comedy,Crime",6.5,49597.0,2.0,1.0,0.0,2.0,3.0,0.0,0.5,0.25,0.0,8.0,0.375,0.625
tt0184526,Gorgeous,1999.0,121.0,"Action,Comedy,Romance",6.1,10630.0,1.0,1.0,0.0,3.0,2.0,0.0,0.25,0.3333333333333333,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0184756,Mr. Muhsin,1987.0,119.0,"Comedy,Drama,Music",8.5,9194.0,1.0,0.0,0.0,3.0,2.0,0.0,0.25,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334
tt0184791,O,2001.0,95.0,"Drama,Romance,Thriller",6.1,18891.0,1.0,0.0,0.0,3.0,5.0,0.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0184858,Reindeer Games,2000.0,104.0,"Action,Adventure,Crime",5.8,36603.0,1.0,0.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0184894,Shanghai Noon,2000.0,110.0,"Action,Adventure,Comedy",6.6,115955.0,2.0,0.0,0.0,2.0,6.0,0.0,0.5,0.0,0.0,10.0,0.2,0.8
tt0184907,Snow Day,2000.0,89.0,"Adventure,Comedy,Family",5.1,11193.0,1.0,1.0,0.0,3.0,4.0,1.0,0.25,0.2,0.0,10.0,0.2,0.8
tt0184950,'Thou-Vou' Falakros praktor - Epiheirisis: Gis madiam,1969.0,94.0,Comedy,7.9,997.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571
tt0185014,Wonder Boys,2000.0,107.0,"Comedy,Drama",7.3,59908.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0185125,All About My Mother,1999.0,101.0,Drama,7.8,85166.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,9.0,0.4444444444444444,0.5555555555555556
tt0185183,Battlefield Earth,2000.0,118.0,"Action,Adventure,Sci-Fi",2.5,74486.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
tt0185371,House on Haunted Hill,1999.0,93.0,"Horror,Mystery,Thriller",5.6,51909.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0185431,Little Nicky,2000.0,90.0,"Comedy,Fantasy",5.3,94995.0,1.0,0.0,0.0,3.0,4.0,1.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0185481,Neo Tokyo,1987.0,50.0,"Adventure,Animation,Fantasy",7.1,2781.0,1.0,0.0,0.0,3.0,3.0,0.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571
tt0185584,Peculiarities of the National Fishing,1997.0,94.0,Comedy,7.2,3228.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0
tt0185853,Ali Baba and the Forty Thieves,1971.0,84.0,"Comedy,Fantasy",6.8,1774.0,1.0,0.0,0.0,3.0,1.0,1.0,0.25,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334
tt0185937,The Blair Witch Project,1999.0,81.0,"Horror,Mystery",6.5,224168.0,1.0,0.0,0.0,2.0,2.0,1.0,0.3333333333333333,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334
tt0186045,Drowning Mona,2000.0,96.0,"Comedy,Crime,Mystery",5.7,12883.0,3.0,0.0,0.0,1.0,5.0,0.0,0.75,0.0,0.0,9.0,0.3333333333333333,0.6666666666666666
tt0186151,Frequency,2000.0,118.0,"Crime,Drama,Mystery",7.3,97877.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9
