tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0364569,Oldboy,Oldeuboi,2003.0,120.0,"Action,Drama,Mystery",nm0661791,"nm1628380,nm2057405,nm3820072,nm0661791,nm1367409,nm1369364",8.4,488801.0
tt0364647,Virumandi,Virumandi,2004.0,175.0,"Action,Drama,Thriller",nm0352032,"nm2832163,nm0352032",8.3,3986.0
tt0364725,Dodgeball,Dodgeball: A True Underdog Story,2004.0,92.0,"Comedy,Sport",nm1098493,nm1098493,6.7,221978.0
tt0364751,Without a Paddle,Without a Paddle,2004.0,95.0,"Adventure,Comedy,Mystery",nm0109359,"nm0937748,nm0325214,nm0638218,nm0499343,nm0745861",5.9,43155.0
tt0364930,Aileen: Life and Death of a Serial Killer,Aileen: Life and Death of a Serial Killer,2003.0,93.0,"Crime,Documentary","nm0112374,nm0161443",,7.1,6190.0
tt0364955,Art School Confidential,Art School Confidential,2006.0,102.0,"Comedy,Drama,Romance",nm0959062,nm0167280,6.3,16329.0
tt0364961,The Assassination of Richard Nixon,The Assassination of Richard Nixon,2004.0,95.0,"Biography,Crime,Drama",nm0007158,"nm1353930,nm0007158",7.0,24911.0
tt0364970,Babylon A.D.,Babylon A.D.,2008.0,90.0,"Action,Adventure,Sci-Fi",nm0440913,"nm1175275,nm0440913,nm0078704,nm1758001",5.6,91818.0
tt0364986,Ben & Arthur,Ben & Arthur,2002.0,85.0,"Drama,Romance,Thriller",nm1371524,nm1371524,2.3,7474.0
tt0365089,The Red Colored Grey Truck,Sivi kamion crvene boje,2004.0,95.0,"Adventure,Comedy,Romance",nm0464123,nm0464123,7.4,4680.0
tt0365125,A Dirty Shame,A Dirty Shame,2004.0,89.0,Comedy,nm0000691,nm0000691,5.1,11925.0
tt0365265,Ginger Snaps Back: The Beginning,Ginger Snaps Back: The Beginning,2004.0,94.0,"Drama,Horror",nm0367538,"nm0251569,nm1351157",5.9,9772.0
tt0365376,A Tale of Two Sisters,"Janghwa, Hongryeon",2003.0,114.0,"Drama,Horror,Mystery",nm0453518,nm0453518,7.2,53518.0
tt0365478,Man with the Screaming Brain,Man with the Screaming Brain,2005.0,90.0,"Comedy,Family,Fantasy",nm0132257,"nm0132257,nm0329049,nm0000600",5.6,5007.0
tt0365485,The Matador,The Matador,2005.0,96.0,"Comedy,Crime,Thriller",nm0791672,nm0791672,6.7,43240.0
tt0365513,Monster Man,Monster Man,2003.0,95.0,"Adventure,Comedy,Horror",nm0205157,nm0205157,5.8,4326.0
tt0365545,Nappily Ever After,Nappily Ever After,2018.0,98.0,"Comedy,Drama,Romance",nm2223783,"nm0111845,nm10021676,nm1946260",6.4,7168.0
tt0365675,The Red Baron,Der Rote Baron,2008.0,106.0,"Action,Adventure,Biography",nm0618391,nm0618391,6.4,11408.0
tt0365686,Revolver,Revolver,2005.0,111.0,"Action,Crime,Drama",nm0005363,"nm0000108,nm0005363",6.4,87129.0
tt0365737,Syriana,Syriana,2005.0,128.0,"Drama,Thriller",nm0300866,"nm0300866,nm1373849",6.9,123276.0
tt0365748,Shaun of the Dead,Shaun of the Dead,2004.0,99.0,"Comedy,Horror",nm0942367,"nm0670408,nm0942367",7.9,494084.0
tt0365830,Tenacious D in the Pick of Destiny,Tenacious D in The Pick of Destiny,2006.0,93.0,"Adventure,Comedy,Music",nm0528381,"nm0085312,nm0309307,nm0528381",6.8,99233.0
tt0365847,The Myth,San wa,2005.0,122.0,"Action,Adventure,Comedy",nm0867262,"nm0867262,nm0910924,nm1934885",6.1,13959.0
tt0365885,The Upside of Anger,The Upside of Anger,2005.0,118.0,"Comedy,Drama",nm0082802,nm0082802,6.8,20826.0
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014.0,114.0,"Action,Crime,Drama",nm0291082,"nm0088747,nm0291082",6.5,109139.0
tt0365929,Whiteout,Whiteout,2009.0,101.0,"Action,Crime,Horror",nm0784061,"nm0388377,nm0388375,nm0370937,nm0370928,nm1421638,nm2906032",5.5,36513.0
tt0365957,You Got Served,You Got Served,2004.0,95.0,"Drama,Music",nm0831321,nm0831321,3.8,25517.0
tt0365960,Zero Day,Zero Day,2002.0,92.0,Drama,nm1397579,"nm1397579,nm1426544",7.2,3926.0
tt0366174,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,2004.0,97.0,"Action,Adventure,Horror",nm0514546,"nm0061829,nm0143596,nm0258390,nm0163177,nm0954664,nm0591160,nm0627159",4.7,27765.0
tt0366292,One Missed Call,Chakushin ari,2003.0,112.0,"Horror,Mystery",nm0586281,"nm0015340,nm1735347",6.2,16274.0
tt0366442,There Is a Man in Our House,Fi baitina rajul,1961.0,159.0,"Drama,History,Romance",nm0052897,"nm1126244,nm0008098",7.3,874.0
tt0366450,Five Children and It,Five Children and It,2004.0,89.0,"Adventure,Family,Fantasy",nm0827268,"nm1520937,nm0626334",5.5,4802.0
tt0366526,Godzilla: Tokyo S.O.S.,Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.,2003.0,91.0,"Action,Adventure,Fantasy",nm0856803,"nm0856803,nm0948410",6.6,3508.0
tt0366532,Seducing Doctor Lewis,La grande séduction,2003.0,108.0,Comedy,nm0693648,nm0779433,7.4,5026.0
tt0366548,Happy Feet,Happy Feet,2006.0,108.0,"Adventure,Animation,Comedy","nm0171253,nm0606688,nm0004306","nm0004306,nm0171722,nm0606688,nm0171253",6.4,164198.0
tt0366551,Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,2004.0,88.0,"Adventure,Comedy",nm0500444,"nm1375358,nm1376383",7.1,177419.0
tt0366623,Rumor of Love,Ishayat hub,1961.0,120.0,"Comedy,Romance",nm0008152,"nm0252776,nm0256221,nm0002616",7.9,805.0
tt0366627,The Jacket,The Jacket,2005.0,103.0,"Drama,Fantasy,Mystery",nm0562266,"nm1789514,nm0733692,nm1127653",7.1,106212.0
tt0366721,Trilogy: The Weeping Meadow,Trilogia: To livadi pou dakryzei,2004.0,170.0,"Drama,History,Romance",nm0000766,"nm0000766,nm0346096,nm0548316,nm0797792",7.9,4069.0
tt0366777,Millions,Millions,2004.0,98.0,"Comedy,Crime,Drama",nm0000965,nm0101639,6.9,24109.0
tt0366780,Mirrormask,Mirrormask,2005.0,101.0,"Adventure,Fantasy",nm0571098,"nm0301274,nm0571098",6.8,22034.0
tt0366840,Okkadu,Okkadu,2003.0,170.0,"Action,Romance,Sport",nm0348015,nm0348015,8.0,7991.0
tt0366905,Pippi Longstocking,Pippi Långstrump,1969.0,100.0,"Adventure,Comedy,Drama",nm0375224,nm0511807,7.0,3945.0
tt0366943,Reconstruction,Reconstruction,2003.0,92.0,"Drama,Romance",nm1061993,"nm1061993,nm0750000",7.4,6971.0
